ID	DOCULECT	CONCEPT	TOKENS	CONCEPTICON_ID
152084	Toro_Tegu_Dogon	arrow	tèj.n-ìr.nú	977.0
159607	Tomo_Kan_Dogon	arrow	tʃon	977.0
160791	Toro_Tegu_Dogon	arrow	tèj.nìr.nú	977.0
162937	Donno_So_Dogon	arrow	kè.è�í.ì	977.0
360	Tomo_Kan_Dogon	ash	dwɛ́�	646.0
1528	Guru_(Mali)	ash	ɛ́.ɛ́r.nɛ̀	646.0
5192	Bankan_Tey_Dogon	ash	dɔ̀j.nɔ̌j.n	646.0
5804	Togo_Kan	ash	dɔ̀j.nɛ́	646.0
17317	Ampari_Dogon	ash	dɔ̀.ɔ̀jé	646.0
20930	Donno_So_Dogon	ash	ún.dɔ̀	646.0
25455	Toro_Tegu_Dogon	ash	dòw.nòsú	646.0
26074	Penange	ash	dwɛ̀.ɛ̀	646.0
30928	Mombo_Dogon	ash	dwɛ́.ɛ̀	646.0
39046	Dogul_Dom_Dogon	ash	dɔ́.ɔ̀	646.0
44164	Jamsay_Dogon	ash	dɔj.nɔ	646.0
48631	Yorno_So	ash	únɔ̀	646.0
60749	Najamba	ash	dɔ̀dɛ̀.ɛ́-ŋ.ɡó	646.0
69564	Ben_Tey_Dogon	ash	dɔ̀j.nɔ̌j.n	646.0
70111	Bunoge_Dogon	ash	díwɔ̀	646.0
75396	Yanda_Dom_Dogon	ash	dɔ̀j.nɛ̀	646.0
88560	Dogul_Dom_Dogon	ash	dɔ̀.ɔ́	646.0
91296	Tebul_Ure_Dogon	ash	dɔ̀ɛ́	646.0
95689	Tommo_So_Dogon	ash	ún.dɔ́	646.0
95690	Tommo_So_Dogon	ash	ɔ́ín.dɛ́	646.0
101309	Tiranige_Diga_Dogon	ash	dwɛ́.ɛ́	646.0
103292	Nanga	ash	dùjá	646.0
112102	Perge_Tegu	ash	dɔ̀j.nɔ́	646.0
118974	Jamsay_Dogon	ash	dɔwɔ	646.0
119454	Ana_Tinga_Dogon	ash	duɛ	646.0
119601	Tommo_So_Dogon	ash	ʔun.dɔ	646.0
120006	Tebul_Ure_Dogon	ash	duɛ	646.0
120441	Bankan_Tey_Dogon	ash	dɔ.ɔ.njǒj	646.0
121101	Toro_Tegu_Dogon	ash	dɔ.ɔsu	646.0
121321	Yanda_Dom_Dogon	ash	d.wɛ.n	646.0
121322	Yanda_Dom_Dogon	ash	dwe.n	646.0
122455	Bunoge_Dogon	ash	diwo	646.0
122627	Dogul_Dom_Dogon	ash	dɔ.ɔ	646.0
