ID	DOCULECT	CONCEPT	TOKENS	CONCEPTICON_ID	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGID	ALIGNMENT
71829	Bunoge_Dogon	pound	dɛ́.ɛ̀	354.0	1	A	T	5	5.T.C	2.0	dɛ́.ɛ̀	1	9420	dɛ́.ɛ̀
71830	Bunoge_Dogon	pound	ɡɔ́ɡɛ̀	354.0	1	A	K	5	5.K.C	2.0	ɡɔ́ɡɛ̀	1	9590	ɡɔ́ɡɛ̀
74544	Yanda_Dom_Dogon	pound	nɔ̀.ɔ̀-nɔ̀.ɔ̀-tótóló	354.0	4	A	N	22	22.N.C	2.0	nɔ̀.ɔ̀-nɔ̀.ɔ̀-tótóló	0	9493	nɔ̀.ɔ̀-nɔ̀.ɔ̀-tótóló
75902	Yanda_Dom_Dogon	pound	tùm.bó-lì	354.0	1	A	T	22	22.T.C	2.0	tùm.bó-lì	0	9420	tùm.bó-lì
75903	Yanda_Dom_Dogon	pound	túm.bó	354.0	1	A	T	22	22.T.C	2.0	túm.bó	1	9420	túm.bó
80184	Tommo_So_Dogon	pound	d.ʒàŋ.ɡá	354.0	1	A	T	19	19.T.C	2.0	d.ʒàŋ.ɡá	0	9420	d.ʒàŋ.ɡá
80676	Tommo_So_Dogon	pound	ɡà.àlɛ̌j-ɡà.àlɛ̀j#dɔ̀.ɔ́	354.0	1	A	K	19	19.K.C	2.0	ɡà.àlɛ̌j-ɡà.àlɛ̀j#dɔ̀.ɔ́	0	9590	ɡà.àlɛ̌j-ɡà.àlɛ̀j#dɔ̀.ɔ́
80689	Tommo_So_Dogon	pound	dɔ̀.ɔ́	354.0	1	A	T	19	19.T.C	2.0	dɔ̀.ɔ́	0	9420	dɔ̀.ɔ́
80690	Tommo_So_Dogon	pound	d.ʒàŋ.ɡá	354.0	1	A	T	19	19.T.C	2.0	d.ʒàŋ.ɡá	1	9420	d.ʒàŋ.ɡá
80691	Tommo_So_Dogon	pound	tán.d.ʒá	354.0	1	A	T	19	19.T.C	2.0	tán.d.ʒá	0	9420	tán.d.ʒá
80692	Tommo_So_Dogon	pound	pédé	354.0	1	A	P	19	19.P.C	2.0	pédé	0	9485	pédé
80693	Tommo_So_Dogon	pound	sɔ́ɡɔ́	354.0	3	A	S	19	19.S.C	2.0	sɔ́ɡɔ́	0	9446	sɔ́ɡɔ́
80694	Tommo_So_Dogon	pound	dɔ̀.ɔ́	354.0	1	A	T	19	19.T.C	2.0	dɔ̀.ɔ́	1	9420	dɔ̀.ɔ́
80701	Tommo_So_Dogon	pound	sɛ́m.bɛ́#le#dɔ̀.ɔ́	354.0	3	A	S	19	19.S.C	2.0	sɛ́m.bɛ́#le#dɔ̀.ɔ́	0	9446	sɛ́m.bɛ́#le#dɔ̀.ɔ́
80702	Tommo_So_Dogon	pound	dùm.bɔ́	354.0	1	A	T	19	19.T.C	2.0	dùm.bɔ́	1	9420	dùm.bɔ́
80703	Tommo_So_Dogon	pound	bùn.dó	354.0	1	A	P	19	19.P.C	2.0	bùn.dó	1	9485	bùn.dó
80704	Tommo_So_Dogon	pound	sɔ́ɡɔ́	354.0	3	A	S	19	19.S.C	2.0	sɔ́ɡɔ́	1	9446	sɔ́ɡɔ́
80705	Tommo_So_Dogon	pound	sɔ́ɡɔ́	354.0	3	A	S	19	19.S.C	2.0	sɔ́ɡɔ́	1	9446	sɔ́ɡɔ́
80706	Tommo_So_Dogon	pound	d.ʒàŋ.ɡá	354.0	1	A	T	19	19.T.C	2.0	d.ʒàŋ.ɡá	1	9420	d.ʒàŋ.ɡá
80707	Tommo_So_Dogon	pound	tán.d.ʒá	354.0	1	A	T	19	19.T.C	2.0	tán.d.ʒá	1	9420	tán.d.ʒá
80708	Tommo_So_Dogon	pound	pédé	354.0	1	A	P	19	19.P.C	2.0	pédé	1	9485	pédé
80709	Tommo_So_Dogon	pound	dɔ̀.ɔ́	354.0	1	A	T	19	19.T.C	2.0	dɔ̀.ɔ́	1	9420	dɔ̀.ɔ́
83392	Yanda_Dom_Dogon	pound	pó.ózó-lì	354.0	1	A	P	22	22.P.C	2.0	pó.ózó-lì	0	9485	pó.ózó-lì
83393	Yanda_Dom_Dogon	pound	pó.ózó	354.0	1	A	P	22	22.P.C	2.0	pó.ózó	0	9485	pó.ózó
83394	Yanda_Dom_Dogon	pound	nòm.bó	354.0	4	A	N	22	22.N.C	2.0	nòm.bó	0	9493	nòm.bó
83396	Yanda_Dom_Dogon	pound	tóló-lì	354.0	1	A	T	22	22.T.C	2.0	tóló-lì	0	9420	tóló-lì
83397	Yanda_Dom_Dogon	pound	tóló	354.0	1	A	T	22	22.T.C	2.0	tóló	0	9420	tóló
83398	Yanda_Dom_Dogon	pound	sɔ́ɡɔ́	354.0	3	A	S	22	22.S.C	2.0	sɔ́ɡɔ́	0	9446	sɔ́ɡɔ́
83399	Yanda_Dom_Dogon	pound	sɔ́ɡá-lì	354.0	3	A	S	22	22.S.C	2.0	sɔ́ɡá-lì	0	9446	sɔ́ɡá-lì
83400	Yanda_Dom_Dogon	pound	sɔ́ɡɔ́	354.0	3	A	S	22	22.S.C	2.0	sɔ́ɡɔ́	1	9446	sɔ́ɡɔ́
83417	Yanda_Dom_Dogon	pound	zàŋà-lí	354.0	3	A	S	22	22.S.C	2.0	zàŋà-lí	0	9446	zàŋà-lí
83418	Yanda_Dom_Dogon	pound	zǎŋ	354.0	3	A	S	22	22.S.C	2.0	zǎŋ	0	9446	zǎŋ
83419	Yanda_Dom_Dogon	pound	pézé-lì	354.0	1	A	P	22	22.P.C	2.0	pézé-lì	0	9485	pézé-lì
83420	Yanda_Dom_Dogon	pound	pézé	354.0	1	A	P	22	22.P.C	2.0	pézé	0	9485	pézé
83421	Yanda_Dom_Dogon	pound	tóló-lì	354.0	1	A	T	22	22.T.C	2.0	tóló-lì	1	9420	tóló-lì
83422	Yanda_Dom_Dogon	pound	tóló	354.0	1	A	T	22	22.T.C	2.0	tóló	1	9420	tóló
83423	Yanda_Dom_Dogon	pound	tóló-lì	354.0	1	A	T	22	22.T.C	2.0	tóló-lì	1	9420	tóló-lì
83424	Yanda_Dom_Dogon	pound	tóló	354.0	1	A	T	22	22.T.C	2.0	tóló	1	9420	tóló
83425	Yanda_Dom_Dogon	pound	nòm.bó-lì	354.0	4	A	N	22	22.N.C	2.0	nòm.bó-lì	0	9493	nòm.bó-lì
83426	Yanda_Dom_Dogon	pound	nòm.bó	354.0	4	A	N	22	22.N.C	2.0	nòm.bó	1	9493	nòm.bó
83427	Yanda_Dom_Dogon	pound	bɔ̀ɡà-lí	354.0	1	A	P	22	22.P.C	2.0	bɔ̀ɡà-lí	0	9485	bɔ̀ɡà-lí
83428	Yanda_Dom_Dogon	pound	bɔ̀ɡɔ́	354.0	1	A	P	22	22.P.C	2.0	bɔ̀ɡɔ́	0	9485	bɔ̀ɡɔ́
83431	Yanda_Dom_Dogon	pound	nòm.bó-lì	354.0	4	A	N	22	22.N.C	2.0	nòm.bó-lì	1	9493	nòm.bó-lì
83432	Yanda_Dom_Dogon	pound	nòm.bó	354.0	4	A	N	22	22.N.C	2.0	nòm.bó	1	9493	nòm.bó
83433	Yanda_Dom_Dogon	pound	nòm.bó-lì	354.0	4	A	N	22	22.N.C	2.0	nòm.bó-lì	1	9493	nòm.bó-lì
83434	Yanda_Dom_Dogon	pound	nòm.bó	354.0	4	A	N	22	22.N.C	2.0	nòm.bó	1	9493	nòm.bó
83435	Yanda_Dom_Dogon	pound	nòŋó-lì	354.0	4	A	N	22	22.N.C	2.0	nòŋó-lì	0	9493	nòŋó-lì
83436	Yanda_Dom_Dogon	pound	nòŋó	354.0	4	A	N	22	22.N.C	2.0	nòŋó	0	9493	nòŋó
