ID	DOCULECT	CONCEPT	TOKENS	CONCEPTICON_ID
48658	Yorno_So	arrow	kɛ́m	977
60774	Najamba	arrow	kɛ̀mɛ̀#dùr-í.ì	977
60775	Najamba	arrow	mɔ̀.ɔ̀sù-kɛ̀mɛ́	977
60776	Najamba	arrow	kɛ̀mɛ́	977
69473	Ben_Tey_Dogon	arrow	ɛ̀sɛ̀-ɡɛ̀rɛ̌j	977
69567	Ben_Tey_Dogon	arrow	mùn.d.ʒù-tʃɛ̀m-jí.ì	977
70100	Bunoge_Dogon	arrow	táw-sè	977
75358	Yanda_Dom_Dogon	arrow	tɛ́ŋ	977
91281	Tebul_Ure_Dogon	arrow	tó.ó	977
95364	Tommo_So_Dogon	arrow	tò.ò#tànnà.à-j	977
95555	Jamsay_Dogon	arrow	tɔ̀j.n-tʃɛ̌m	977
95681	Tommo_So_Dogon	arrow	tò.ò#tànnà.à-j	977
95682	Tommo_So_Dogon	arrow	tò.ò#kɛ̌m	977
103273	Nanga	arrow	tò.ò-kɛ̀mɛ̀-nd.ʒâ	977
103364	Nanga	arrow	ɛ̀sɛ̀-kɛ̀rɛ́	977
112093	Perge_Tegu	arrow	kɛ̌m	977
118973	Jamsay_Dogon	arrow	tʃɪm	977
119453	Ana_Tinga_Dogon	arrow	kɛm#e.e	977
128784	Jamsay_Dogon	arrow	kɛm	977
129958	Tengou-Togo_Dogon	arrow	kɛ.n	977
131391	Dogul_Dom_Dogon	arrow	kɛm	977
131681	Tommo_So_Dogon	arrow	to.o#inej	977
132427	Nanga	arrow	tò:ò-kɛ̀mɛ̀-nd.ʒâ	977
132578	Nanga	arrow	ɛ̀sɛ̀-kɛ̀rɛ́	977
141070	Nanga	arrow	ɛ̀sɛ̀-kɛ̀rɛ́	977
141160	Nanga	arrow	tò:ò-kɛ̀mɛ̀-nd.ʒâ	977
143658	Mombo_Dogon	arrow	kɛmɛ	977
145803	Mombo_Dogon	arrow	tɔ.nʃe	977
147938	Donno_So_Dogon	arrow	kem	977
148838	Donno_So_Dogon	arrow	kɛd.ʒŋ	977
149128	Mombo_Dogon	arrow	kɛm	977
149710	Ampari_Dogon	arrow	tá#suɡje	977
152084	Toro_Tegu_Dogon	arrow	tèj.n-ìr.nú	977
159607	Tomo_Kan_Dogon	arrow	tʃon	977
160791	Toro_Tegu_Dogon	arrow	tèj.nìr.nú	977
162937	Donno_So_Dogon	arrow	kè.è�í.ì	977
360	Tomo_Kan_Dogon	ash	dwɛ́�	646
1528	Guru_(Mali)	ash	ɛ́.ɛ́r.nɛ̀	646
5192	Bankan_Tey_Dogon	ash	dɔ̀j.nɔ̌j.n	646
5804	Togo_Kan	ash	dɔ̀j.nɛ́	646
17317	Ampari_Dogon	ash	dɔ̀.ɔ̀jé	646
20930	Donno_So_Dogon	ash	ún.dɔ̀	646
25455	Toro_Tegu_Dogon	ash	dòw.nòsú	646
26074	Penange	ash	dwɛ̀.ɛ̀	646
30928	Mombo_Dogon	ash	dwɛ́.ɛ̀	646
39046	Dogul_Dom_Dogon	ash	dɔ́.ɔ̀	646
44164	Jamsay_Dogon	ash	dɔj.nɔ	646
48631	Yorno_So	ash	únɔ̀	646
60749	Najamba	ash	dɔ̀dɛ̀.ɛ́-ŋ.ɡó	646
69564	Ben_Tey_Dogon	ash	dɔ̀j.nɔ̌j.n	646
70111	Bunoge_Dogon	ash	díwɔ̀	646
75396	Yanda_Dom_Dogon	ash	dɔ̀j.nɛ̀	646
88560	Dogul_Dom_Dogon	ash	dɔ̀.ɔ́	646
91296	Tebul_Ure_Dogon	ash	dɔ̀ɛ́	646
95689	Tommo_So_Dogon	ash	ún.dɔ́	646
95690	Tommo_So_Dogon	ash	ɔ́ín.dɛ́	646
101309	Tiranige_Diga_Dogon	ash	dwɛ́.ɛ́	646
103292	Nanga	ash	dùjá	646
112102	Perge_Tegu	ash	dɔ̀j.nɔ́	646
118974	Jamsay_Dogon	ash	dɔwɔ	646
119454	Ana_Tinga_Dogon	ash	duɛ	646
119601	Tommo_So_Dogon	ash	ʔun.dɔ	646
120006	Tebul_Ure_Dogon	ash	duɛ	646
120441	Bankan_Tey_Dogon	ash	dɔ.ɔ.njǒj	646
121101	Toro_Tegu_Dogon	ash	dɔ.ɔsu	646
121321	Yanda_Dom_Dogon	ash	d.wɛ.n	646
121322	Yanda_Dom_Dogon	ash	dwe.n	646
122455	Bunoge_Dogon	ash	diwo	646
122627	Dogul_Dom_Dogon	ash	dɔ.ɔ	646
128787	Jamsay_Dogon	ash	dɔ̀j.nɔ́	646
129959	Tengou-Togo_Dogon	ash	do.owɛ.n	646
131526	Tommo_So_Dogon	ash	ʔun.dɔʔ	646
131682	Tommo_So_Dogon	ash	un.dɔ	646
132467	Nanga	ash	dùjá	646
134150	Tommo_So_Dogon	ash	ʔun.dɔ	646
141162	Nanga	ash	dùjá	646
143660	Mombo_Dogon	ash	dwɛ	646
144074	Mombo_Dogon	ash	njàlànjàlà	646
145773	Mombo_Dogon	ash	dweid.ʒ	646
147060	Donno_So_Dogon	ash	ʔuŋdɔ	646
147798	Mombo_Dogon	ash	d	646
148074	Ampari_Dogon	ash	d.u	646
148839	Donno_So_Dogon	ash	un.do	646
148925	Ampari_Dogon	ash	d	646
149711	Ampari_Dogon	ash	doj	646
150515	Toro_Tegu_Dogon	ash	do.ozu	646
152137	Toro_Tegu_Dogon	ash	dunzu	646
152138	Toro_Tegu_Dogon	ash	dòw.nòsú	646
159327	Tomo_Kan_Dogon	ash	du.ɛ.n	646
159439	Tomo_Kan_Dogon	ash	d.jɛ.n	646
159708	Ampari_Dogon	ash	dɛ	646
159793	Mombo_Dogon	ash	do.eɛ	646
160792	Toro_Tegu_Dogon	ash	dòw.nòsú	646
161428	Tiranige_Diga_Dogon	ash	dwɛ́.ɛ́	646
162033	Dogul_Dom_Dogon	ash	dɔ̀.ɔ́	646
162938	Donno_So_Dogon	ash	ún.dɔ̀	646
1532	Guru_(Mali)	ask	úsúrú	1309
5189	Bankan_Tey_Dogon	ask	úsí	1309
5191	Bankan_Tey_Dogon	ask	ɡɔ̀.ɔ́	1309
5803	Togo_Kan	ask	úɲùr.nì	1309
5810	Togo_Kan	ask	dúr.nú	1309
5811	Togo_Kan	ask	tɔ̀ɡú#dùr.nú	1309
5817	Togo_Kan	ask	úɲɔ́r.nɔ́	1309
5818	Togo_Kan	ask	úɲùr.nù	1309
12796	Togo_Kan	ask	ɡɛ̀ŋɛ́	1309
13585	Toro_Tegu_Dogon	ask	úsó	1309
13586	Toro_Tegu_Dogon	ask	úsú	1309
20928	Donno_So_Dogon	ask	túbɔ̀	1309
20929	Donno_So_Dogon	ask	tùbɔ́#kún.dò	1309
20944	Donno_So_Dogon	ask	túb-ɛ̀	1309
25446	Toro_Tegu_Dogon	ask	úsó	1309
25447	Toro_Tegu_Dogon	ask	úsú	1309
25450	Toro_Tegu_Dogon	ask	ɡɔ̀.ɔ́	1309
25451	Toro_Tegu_Dogon	ask	ɡɔ̀wɔ́	1309
25452	Toro_Tegu_Dogon	ask	ɡɔ̌w	1309
25453	Toro_Tegu_Dogon	ask	úsó	1309
25454	Toro_Tegu_Dogon	ask	úsú	1309
26072	Penange	ask	sàrù#sáré	1309
26073	Penange	ask	sáré	1309
30909	Mombo_Dogon	ask	sàrù#sáré	1309
30911	Mombo_Dogon	ask	á.áŋ.ɡálí#sá.árè	1309
30912	Mombo_Dogon	ask	sáré	1309
35573	Mombo_Dogon	ask	ábá.án.dù	1309
36023	Mombo_Dogon	ask	sáré	1309
36625	Jamsay_Dogon	ask	úd.ʒúró	1309
36626	Jamsay_Dogon	ask	lè#d.ʒàŋá	1309
39051	Dogul_Dom_Dogon	ask	tùbɛ́	1309
44162	Jamsay_Dogon	ask	ɡɔwɔ	1309
44163	Jamsay_Dogon	ask	ud.ʒuro	1309
44172	Jamsay_Dogon	ask	tɔ̀ɡú#dùr.nó	1309
44174	Jamsay_Dogon	ask	ud.ʒuro	1309
48662	Yorno_So	ask	mɛ̀rɛ́#dùr.nɔ́	1309
48663	Yorno_So	ask	tɔ̀ɡú#dùr.nɔ́	1309
48664	Yorno_So	ask	úd.ʒúrú	1309
48665	Yorno_So	ask	úd.ʒóró	1309
48667	Yorno_So	ask	sáɲá	1309
48689	Yorno_So	ask	sélmɛ́	1309
50849	Najamba	ask	sàrè	1309
50850	Najamba	ask	sár	1309
57118	Yorno_So	ask	ɡ	1309
57119	Yorno_So	ask	sólmɔ́	1309
57120	Yorno_So	ask	sélmɛ́	1309
